Percent,NDMI,Dist_roads,Elevation,SnowDepth,MAT,MAP,MAPcv
40,-0.022323119,1170,1109.3268,0.0651,5.7231868,514.5800016,0.007053523
55,-0.016062414,1170,1109.8457,0.0651,5.7231868,514.5800016,0.007053523
65,-0.016062414,1170,1109.8219,0.0651,5.7231868,514.5800016,0.007053523
20,-0.013229572,1171.5375,1109.3428,0.0651,5.7231868,514.5800016,0.007053523
20,-0.033166308,1171.5375,1109.3121,0.0651,5.7231868,514.5800016,0.007053523
55,-0.030216511,1171.5375,1109.7509,0.0651,5.7231868,514.5800016,0.007053523
40,-0.019206146,2881.406,1131.0011,0.06584445,5.71375,513.7900005,0.007126786
65,-0.00887199,2881.406,1131.0536,0.06584445,5.71375,513.7900005,0.007126786
65,-0.000864,1978.4084,1127.6047,0.06207778,5.6632693,515.4600002,0.007114815
15.1113,-0.05028854,30,1007.35516,0.023977779,8.7019369,866.3499983,0.008483278
0.0501,-0.05028854,30,1006.2891,0.023977779,8.7019369,866.3499983,0.008483278
55,-0.025301674,1203.3702,1112.0936,0.0651,5.7231868,514.5800016,0.007053523
40,-0.025974026,416.77332,1207.6165,0.060355555,5.48446425,544.8199986,0.006852526
55,0.000903,391.15213,1207.544,0.060355555,5.48446425,544.8199986,0.006852526
8,-0.042874932,2940.153,957.6272,0.040633332,8.02875025,244.8100011,0.00954779
40,-0.03199215,1934.9419,1125.4949,0.06207778,5.6632693,515.4600002,0.007114815
65,0.011769931,1328.4954,1113.8534,0.06536666,5.7231868,514.5800016,0.007053523
40,-0.009341536,2436.473,1111.7817,0.06542222,5.7265247,513.270001,0.00709913
55,-0.000776,390,1146.8546,0.062288888,5.6392997,532.2700031,0.006833568
55,0.05468103,3001.3496,1120.041,0.06542222,5.68193715,516.9999985,0.007144631
40,-0.028037382,2794.0293,1124.7427,0.06584445,5.71375,513.7900005,0.007126786
20,-0.046973366,1204.8651,1111.8805,0.0651,5.7231868,514.5800016,0.007053523
55,-0.05162524,458.91174,1142.7109,0.06284445,5.6392997,532.2700031,0.006833568
75,-0.008804109,436.80658,1142.9365,0.06284445,5.6392997,532.2700031,0.006833568
40,0.012378426,2670.674,1123.9705,0.06584445,5.71375,513.7900005,0.007126786
55,-0.022287535,844.8077,1102.8403,0.0651,5.78392855,511.2600015,0.007056813
20,-0.029389601,2200.4546,989.3947,0.03658889,6.09421737,667.1099998,0.007141828
65,0.019520853,842.14014,1149.5057,0.06061111,5.54024715,525.6099971,0.007096902
65,0.020507166,240,1198.7567,0.061533332,5.46045315,555.4199979,0.006712156
65,-0.00748469,234.3075,1198.8231,0.061533332,5.46045315,555.4199979,0.006712156
75,-0.028002776,240,1198.7424,0.061533332,5.46045315,555.4199979,0.006712156
55,-0.03883495,2977.415,1120.2797,0.06542222,5.68193715,516.9999985,0.007144631
75,-0.06114037,108.16654,1197.2891,0.061533332,5.46045315,555.4199979,0.006712156
75,-0.015115006,120,1197.8379,0.061533332,5.46045315,555.4199979,0.006712156
55,0.01835877,630,1118.2368,0.065855555,5.72649705,522.3600003,0.006909
55,0.021107128,1771.0166,1126.5312,0.06207778,5.6632693,515.4600002,0.007114815
65,-0.012187299,2401.687,1122.3052,0.06695555,5.71375,513.7900005,0.007126786
55,-0.04381038,2821.4358,1130.0449,0.06584445,5.71375,513.7900005,0.007126786
75,-0.02312266,2851.4207,1130.4376,0.06584445,5.71375,513.7900005,0.007126786
75,0.024154589,2851.4207,1130.144,0.06584445,5.71375,513.7900005,0.007126786
20,-0.010761946,2977.415,1131.9539,0.06584445,5.7009481,516.0099988,0.0071546
40,0.013978719,3581.0752,986.37897,0.036766667,6.11160738,665.6800018,0.007078527
75,0.056155033,2461.6458,1111.3157,0.06584445,5.71375,513.7900005,0.007126786
40,0.1403717,543.3231,1141.4714,0.06097778,5.6719093,511.0200018,0.007450471
6.1244,0.006007873,30,1008.80615,0.023977779,8.7019369,866.3499983,0.008483278
77.5022,0.013771839,30,1008.3432,0.023977779,8.7019369,866.3499983,0.008483278
65,0.040412724,900.4999,1098.0848,0.06813333,5.76881875,507.6400001,0.007135265
20,0.014451455,1186.8024,1112.1819,0.06536666,5.7231868,514.5800016,0.007053523
55,-0.021382397,1186.8024,1111.9927,0.06536666,5.7231868,514.5800016,0.007053523
75,0.016053647,1186.8024,1112.0635,0.06536666,5.7231868,514.5800016,0.007053523
20,-0.045444757,1945.3792,1024.1084,0.0391,6.12461505,666.5600031,0.006904248
20,-0.045741722,1470,1116.5845,0.063533336,5.7231868,514.5800016,0.007053523
20,-0.054403514,1231.4625,1112.1627,0.0651,5.7231868,514.5800016,0.007053523
40,-0.013364595,1231.4625,1112.2245,0.0651,5.7231868,514.5800016,0.007053523
55,0.017057084,1201.499,1111.5359,0.0651,5.7231868,514.5800016,0.007053523
51.678,-0.037964776,67.08204,973.88306,0.025055556,8.7880629,855.4800043,0.008425444
61.7501,-0.037964776,67.08204,973.88306,0.025055556,8.7880629,855.4800043,0.008425444
36.3062,-0.028704422,67.08204,975.6552,0.025055556,8.7880629,855.4800043,0.008425444
8.56889,-0.028704422,67.08204,975.6552,0.025055556,8.7880629,855.4800043,0.008425444
55,-0.040326234,30,1134.3481,0.06117778,5.7297115,504.8400039,0.007508664
15.3171,-0.044969864,30,1008.4168,0.023977779,8.7019369,866.3499983,0.008483278
65,-0.06608627,1026.1578,1103.9502,0.0651,5.7231868,514.5800016,0.007053523
75,0.035800572,1055.1304,1103.5317,0.0651,5.7231868,514.5800016,0.007053523
40,0.034891374,1506.5856,1127.8496,0.06318889,5.6527201,521.2800033,0.007011507
20,0.015887223,1056.8348,1112.55,0.06536666,5.7231868,514.5800016,0.007053523
55,0.104928456,577.0615,1117.5845,0.061533332,5.7502058,497.4899985,0.007498462
40,0.006140351,2520,1116.709,0.06584445,5.71375,513.7900005,0.007126786
40,0.021530004,300,1171.4343,0.061922222,5.4522942,555.5099991,0.006727558
55,0.009276438,300,1171.2916,0.061922222,5.4522942,555.5099991,0.006727558
40,-0.020425176,1470,1119.1298,0.06318889,5.7231868,514.5800016,0.007053523
55,-0.013754457,1500,1118.3481,0.06318889,5.7231868,514.5800016,0.007053523
5,-0.016655562,300,1005.9103,0.012244444,9.79932675,446.6000017,0.009557697
5.74,0.08225878,993.1767,744.5967,0.3389,7.6638048,498.1899971,0.007181983
40,-0.04359798,2616.1995,1122.8224,0.06695555,5.71375,513.7900005,0.007126786
1,-0.021967527,2334.6091,810.70074,0.1405055,5.899013885,543.8999999,0.007028348
1,-0.021967527,2334.6091,810.70074,0.1405055,5.899013885,543.8999999,0.007028348
60.295,-0.0249656,60,957.8144,0.022333333,8.74769245,863.2600005,0.008289549
66.7478,-0.019354839,60,959.2617,0.022333333,8.74769245,863.2600005,0.008289549
46.6587,-0.01657243,60,958.7773,0.022333333,8.74769245,863.2600005,0.008289549
40.1953,-0.0249656,60,960.9982,0.022333333,8.74769245,863.2600005,0.008289549
85,-0.029045643,417.85165,1145.0634,0.062288888,5.6392997,532.2700031,0.006833568
65,-0.021617683,1080.4166,1108.4598,0.0651,5.7231868,514.5800016,0.007053523
55,0.03084577,182.48288,1141.8518,0.061788887,5.69973905,504.2300006,0.007529457
20,-0.02433748,3293.5847,994.41815,0.037033334,6.06704675,686.9399969,0.007067416
3.96039604,-0.13452914,305.94116,749.55963,0.05331111,7.3509203,128.4799989,0.011740271
26.66666667,-0.06377551,1235.8398,1085.1079,0.007373626,8.02991792,396.6300003,0.008662379
87.2553,-0.008801095,108.16654,970.612,0.025055556,8.7880629,855.4800043,0.008425444
64.6587,-0.008801095,123.69317,970.4799,0.025055556,8.7880629,855.4800043,0.008425444
11.9447,-0.017557703,84.85281,972.743,0.025055556,8.7880629,855.4800043,0.008425444
55,0.018245768,977.1898,1101.7747,0.0651,5.76881875,507.6400001,0.007135265
11,-0.042825457,913.89276,840.9426,0.075,7.97465667,957.0299979,0.004539245
85,0.040623717,502.89163,1153.3617,0.06007778,5.59499985,517.7199988,0.00723249
0.5,-0.054713495,201.24612,539.83075,0.06655555,5.33605765,932.1599988,0.00481228
2,-0.054713495,201.24612,539.83075,0.06655555,5.33605765,932.1599988,0.00481228
20,0.015512344,2376.8257,1114.2343,0.06542222,5.7265247,513.270001,0.00709913
75,0.022771632,2379.2856,1114.1206,0.06542222,5.7265247,513.270001,0.00709913
0.13995,-0.029797377,169.70563,969.51196,0.032277778,8.23795325,521.540004,0.008897469
4.03725,-0.016072128,169.7056,969.788,0.032277778,8.23795325,521.540004,0.008897469
1.53633,-0.024505928,169.70563,969.5251,0.032277778,8.23795325,521.540004,0.008897469
3.82341,-0.018467583,189.73666,969.53094,0.032277778,8.23795325,521.540004,0.008897469
